,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,Analog Brooklyn,Photo & Video,Analog Brooklyn,Photo & Video,Analog Paris,Photo & Video,FILCA - SLR 필름 카메라,Photo & Video,SOVS - 촬영부탁 필수앱,사진,@picn2k camera (피크닉 카메라),Photo & Video,Analog Paris,Photo & Video,Dead Cells,기타,@picn2k camera (피크닉 카메라),Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,Football Manager 2020 Mobile,스포츠,Minecraft,아케이드
1,Analog Wedding,Photo & Video,Analog Paris,Photo & Video,Analog Wedding,Photo & Video,A Dance Of Fire and Ice,음악,Analog Paris,Photo & Video,Stardew Valley,롤플레잉,에버테일,롤플레잉,Analog Paris,Photo & Video,포켓 빌드,시뮬레이션,Stardew Valley,롤플레잉,Minecraft,아케이드,Analog Wedding,Photo & Video
2,Analog Paris,Photo & Video,Analog Wedding,Photo & Video,Analog Brooklyn,Photo & Video,Analog Paris,Photo & Video,Analog Wedding,Photo & Video,Analog Paris,Photo & Video,Analog Wedding,Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,FEELT,Photo & Video,Analog Paris,Photo & Video,A Dance Of Fire and Ice,음악,Analog Paris,Photo & Video
3,@picn2k camera (피크닉 카메라),Photo & Video,Analog Tokyo,Photo & Video,FILCA - SLR 필름 카메라,Photo & Video,SOVS - 촬영부탁 필수앱,사진,Football Manager 2019 Mobile,스포츠,Football Manager 2019 Mobile,스포츠,Minecraft,아케이드,Minecraft,아케이드,ilSang Pro,Photo & Video,Analog Tokyo,Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,A Dance Of Fire and Ice,음악
4,Analog Tokyo,Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,Analog Tokyo,Photo & Video,Analog Wedding,Photo & Video,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Analog Wedding,Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,Analog Wedding,Photo & Video,Analog Paris,Photo & Video,Analog Wedding,Photo & Video,Analog Paris,Photo & Video,@yoojinkim wallpapers,기타
5,Rebel Inc. (반란 주식회사),시뮬레이션,FILCA - SLR 필름 카메라,Photo & Video,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Forest: 집중하기,생산성,Analog Tokyo,Photo & Video,SOVS - 촬영부탁 필수앱,사진,SOVS - 촬영부탁 필수앱,사진,Analog Tokyo,Photo & Video,Analog Wedding,Photo & Video,A Dance Of Fire and Ice,음악,NBA 2K20,스포츠,@picn2k camera (피크닉 카메라),Photo & Video
6,Minecraft,아케이드,Rebel Inc. (반란 주식회사),시뮬레이션,SOVS - 촬영부탁 필수앱,사진,Analog Brooklyn,Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,Minecraft,아케이드,Analog Tokyo,Photo & Video,A Dance Of Fire and Ice,음악,Minecraft,아케이드,Minecraft,아케이드,Analog Wedding,Photo & Video,MOODA,기타
7,SOVS - 촬영부탁 필수앱,사진,Minecraft,아케이드,@picn2k camera (피크닉 카메라),Photo & Video,Analog Tokyo,Photo & Video,Stardew Valley,롤플레잉,Analog Tokyo,Photo & Video,포켓 빌드,시뮬레이션,Analog Brooklyn,Photo & Video,A Dance Of Fire and Ice,음악,후엠아이: 도로시 이야기,시뮬레이션,MOODA,기타,Football Manager 2020 Mobile,스포츠
8,Football Manager 2019 Mobile,스포츠,Plague Inc. (전염병 주식회사),시뮬레이션,Stardew Valley,롤플레잉,Stardew Valley,롤플레잉,Analog Brooklyn,Photo & Video,에버테일,롤플레잉,Analog Brooklyn,Photo & Video,SOVS - 촬영부탁 필수앱,사진,MOODA,기타,MOODA,기타,Analog Tokyo,Photo & Video,Analog Tokyo,Photo & Video
9,Analog Seoul,Photo & Video,Analog Seoul,Photo & Video,에버테일,롤플레잉,@picn2k camera (피크닉 카메라),Photo & Video,Minecraft,아케이드,Analog Brooklyn,Photo & Video,구닥,사진,MOODA,기타,Analog Tokyo,Photo & Video,유니콘:광고차단 필수 앱,생산성,Puffin Browser Pro,커뮤니케이션,Alto s Adventure,액션
10,Analog Budapest,Photo & Video,SOVS - 촬영부탁 필수앱,사진,Football Manager 2019 Mobile,스포츠,Minecraft,아케이드,Plague Inc. (전염병 주식회사),시뮬레이션,FILCA - SLR 필름 카메라,Photo & Video,Analog Jeju,Photo & Video,카툰 크래프트,전략,Football Manager 2019 Mobile,스포츠,Plague Inc. (전염병 주식회사),시뮬레이션,Stardew Valley,롤플레잉,Stardew Valley,롤플레잉
11,Hidden Folks,Adventure,Football Manager 2019 Mobile,스포츠,Forest: 집중하기,생산성,Facetune - 무광고 버전,사진,Analog Jeju,Photo & Video,Plague Inc. (전염병 주식회사),시뮬레이션,Hyper Light Drifter,기타,포켓 빌드,시뮬레이션,SOVS - 촬영부탁 필수앱,사진,Analog Brooklyn,Photo & Video,유니콘:광고차단 필수 앱,생산성,Plague Inc. (전염병 주식회사),시뮬레이션
12,Analog Jeju,Photo & Video,Forest: 집중하기,생산성,Plague Inc. (전염병 주식회사),시뮬레이션,Football Manager 2019 Mobile,스포츠,Facetune - 무광고 버전,사진,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,Facetune - 무광고 버전,사진,농장 스토리,전략,Analog Brooklyn,Photo & Video,Facetune - 무광고 버전,사진,미니 메트로,시뮬레이션,유니콘:광고차단 필수 앱,생산성
13,Feica - 나의 첫번째 필름 카메라,Photo & Video,Analog Jeju,Photo & Video,Analog Budapest,Photo & Video,NewBorder - 뉴보더 여백의 미,Photo & Video,A Dance Of Fire and Ice,음악,오투잼 - 뮤직 & 게임,기타,Stardew Valley,롤플레잉,Stardew Valley,롤플레잉,Plague Inc. (전염병 주식회사),시뮬레이션,Dead Cells,기타,Geometry Dash,아케이드,포켓 빌드,시뮬레이션
14,Analog London,Photo & Video,Analog London,Photo & Video,Minecraft,아케이드,삼국지 한말패업,전략,Forest: 집중하기,생산성,Analog Jeju,Photo & Video,Analog Seoul,Photo & Video,FILCA - SLR 필름 카메라,Photo & Video,Stardew Valley,롤플레잉,구닥,사진,LumaFusion,Photo & Video,마녀의 샘4,롤플레잉
15,Plague Inc. (전염병 주식회사),시뮬레이션,Analog Budapest,Photo & Video,Analog Seoul,Photo & Video,미니 메트로,시뮬레이션,NewBorder - 뉴보더 여백의 미,Photo & Video,Facetune - 무광고 버전,사진,유니콘:광고차단 필수 앱,생산성,Analog Jeju,Photo & Video,Dead Cells,기타,Very Little Nightmares,Adventure,Analog Brooklyn,Photo & Video,GoodNotes 5,Productivity
16,Alto s Odyssey,액션,Rummikub,보드,Analog Jeju,Photo & Video,Plague Inc. (전염병 주식회사),시뮬레이션,FILCA - SLR 필름 카메라,Photo & Video,Analog London,Photo & Video,Plague Inc. (전염병 주식회사),시뮬레이션,Analog London,Photo & Video,유니콘:광고차단 필수 앱,생산성,SOVS - 촬영부탁 필수앱,사진,STAY: Are you there?,Adventure,Analog Brooklyn,Photo & Video
17,Forest: 집중하기,생산성,유니콘:광고차단 필수 앱,생산성,샐리의 법칙,어드벤처,Analog Jeju,Photo & Video,Analog Seoul,Photo & Video,유니콘:광고차단 필수 앱,생산성,Analog Budapest,Photo & Video,Plague Inc. (전염병 주식회사),시뮬레이션,구닥,사진,Analog Jeju,Photo & Video,Bloons TD 6,전략,SOVS - 촬영부탁 필수앱,사진
18,구닥,사진,구닥,사진,Analog London,Photo & Video,Analog Seoul,Photo & Video,Isoland,Adventure,Analog Seoul,Photo & Video,FILCA - SLR 필름 카메라,Photo & Video,워터파크 스토리,시뮬레이션,Alien: Blackout,Action,Geometry Dash,아케이드,Filmica,Photo & Video,갓피플성경,도서/참고자료
19,캐슬레전드3: 영원의 성,Role Playing,"Peace, Death!",아케이드,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,Kingdom Rush Frontiers,전략,RFS - Real Flight Simulator,시뮬레이션,구닥,사진,위대한 정복자: 로마,전략,Analog Seoul,Photo & Video,Facetune - 무광고 버전,사진,Geometry Dash,아케이드
20,Rummikub,보드,Facetune - 무광고 버전,사진,Rummikub,보드,데이그램 - 하루 한줄 일기장,라이프스타일,구닥,사진,아이언 마린 (Iron Marines),전략,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,Analog Seoul,Photo & Video,FILCA - SLR 필름 카메라,Photo & Video,"Peace, Death!",아케이드,포켓 빌드,시뮬레이션,구닥,사진
21,FILCA - SLR 필름 카메라,Photo & Video,kirakira+,Photo & Video,ilSang Pro,Photo & Video,nPlayer - The best media player,Entertainment,Rummikub,보드,Forest: 집중하기,생산성,Rummikub,보드,Facetune - 무광고 버전,사진,Facetune - 무광고 버전,사진,Kingdom Rush Frontiers,전략,Plague Inc. (전염병 주식회사),시뮬레이션,NBA 2K20,스포츠
22,유니콘:광고차단 필수 앱,생산성,Analog Portland,Photo & Video,Feica - 나의 첫번째 필름 카메라,Photo & Video,구닥,사진,Analog London,Photo & Video,Analog Budapest,Photo & Video,위대한 정복자: 로마,전략,Football Manager 2019 Mobile,스포츠,Analog Seoul,Photo & Video,포켓 빌드,시뮬레이션,SOVS - 촬영부탁 필수앱,사진,DEEMO,음악
23,서울 2033 : 후원자,어드벤처,데이그램 - 하루 한줄 일기장,라이프스타일,구닥,사진,Analog Budapest,Photo & Video,Rebel Inc. (반란 주식회사),시뮬레이션,ilSang Pro,Photo & Video,Forest: 집중하기,생산성,유니콘:광고차단 필수 앱,생산성,"Peace, Death!",아케이드,nPlayer - The best media player,Entertainment,갓피플성경,도서/참고자료,오투잼 - 뮤직 & 게임,기타
