,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,SODA 소다 - Natural Beauty Camera,사진,손오공디펜스,전략,크레이지아케이드 BnB M,아케이드,프렌즈타운,퍼즐,Snapchat,소셜,BTS WORLD,캐주얼 게임,골든나이츠 유니버스,롤플레잉,손오공디펜스,전략,Mario Kart Tour,액션,SNOW 스노우,사진,리니지2M,롤플레잉,Funny Fight,기타
1,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,SODA 소다 - Natural Beauty Camera,사진,열혈 삼국지-창의적인  방치형 캐주얼 모바일 게임,Card,김씨협객전,롤플레잉,카카오페이,금융,캐주얼 디펜스M-Q버전 모험 2차원 게임,롤플레잉,Rummikub,보드,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,Puppy Crush - Match 3 Puzzle,기타,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,Fight Soldier,기타,Netflix(넷플릭스),엔터테인먼트
2,SuperStar PLEDIS,음악,천사성역,롤플레잉,SODA 소다 - Natural Beauty Camera,사진,Rummikub,보드,삼국지킹덤디펜스,전략,무쌍삼국지[수집형 턴 RPG],롤플레잉,Color Fill 3D,퍼즐,Pokémon Masters,롤플레잉,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!,교육,(New) 우리은행 우리WON뱅킹,금융,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육
3,#Photos (Photo Viewer/Manager/Editor),Photo & Video,배달요기요,식음료,퍼펙트 레이드,롤플레잉,SODA 소다 - Natural Beauty Camera,사진,좀비 스트라이커：데스 서바이벌 AFK RPG,롤플레잉,다이소 멤버십,라이프스타일,Shootout 3D,퍼즐,쿵야 캐치마인드,퀴즈,올스타 스매시,스포츠,테니스 클래시: 재미있는 스포츠 게임,스포츠,쌍삼국지,롤플레잉,대장장이 용병단 : 합성 방치형 RPG,롤플레잉
4,천사성역,롤플레잉,에브리타임 - 시간표 & 대학교 커뮤니티,소셜,배달요기요,식음료,Traffic Run!,액션,궁수의 전설,액션,해리 포터 : 마법사 연합,어드벤처,"SBS - 온에어, VOD 7만편 무료",동영상 플레이어/편집기,한게임 섯다,카드,(New) 우리은행 우리WON뱅킹,금융,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,더 킹 오브 파이터즈 98 UM온라인,롤플레잉,(New) 우리은행 우리WON뱅킹,금융
5,신의아이들 : SEASON 2,롤플레잉,Tap Tap Music-Pop Songs,음악,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,Fish Crazy Master,Games,SODA 소다 - Natural Beauty Camera,사진,에이블리 - 셀럽마켓 모음앱,쇼핑,Dart or Die,Action,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,SODA 소다 - Natural Beauty Camera,사진,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑
6,Netflix(넷플릭스),엔터테인먼트,진정한 미러 Truth Mirror!,Productivity,한국투자증권 (스마트폰 계좌개설),금융,배달의민족,식음료,Candy Splash - Blast Sugar,Family,aquapark.io,액션,Netflix(넷플릭스),엔터테인먼트,피망 섯다,카드,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,토스,금융,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진
7,카카오뱅크 - 같지만 다른 은행,금융,NH스마트뱅킹,금융,카카오뱅크 - 같지만 다른 은행,금융,카카오뱅크 - 같지만 다른 은행,금융,Candy Frenzy - Match Sugar,Puzzle,Chat & Text Stories - Horror,기타,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,국세청 홈택스,도구,토스,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,에이블리 - 셀럽마켓 모음앱,쇼핑,쿠팡 (Coupang),쇼핑
8,美食相机-最专业的美食摄影相机,Food & Drink,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,히어로칸타레 with NAVER WEBTOON,롤플레잉,Netflix(넷플릭스),엔터테인먼트,국세청 홈택스,도구,배달요기요,식음료,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,한게임 신맞고 : 대한민국 원조 고스톱,카드,SODA 소다 - Natural Beauty Camera,사진,Lazy Farm,기타,Pocket World 3D,캐주얼 게임,롯데홈쇼핑 – 롯데 ON,쇼핑
9,Color Bump 3D,아케이드,카카오뱅크 - 같지만 다른 은행,금융,바이오인증 공동앱,금융,SRT - 수서고속철도(NEW),여행 및 지역정보,성범죄자 알림e,라이프스타일,에이블리 - 셀럽마켓 모음앱,쇼핑,SODA 소다 - Natural Beauty Camera,사진,천만관객돌파,시뮬레이션,에이블리 - 셀럽마켓 모음앱,쇼핑,YouTube,동영상 플레이어/편집기,토스,금융,SODA 소다 - Natural Beauty Camera,사진
