,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,Plague Inc. (전염병 주식회사),시뮬레이션,Forest: 집중하기,생산성,MOODA,기타,Agent A - 숨겨진 퍼즐,퍼즐,Minecraft,아케이드,Minecraft,아케이드
1,Minecraft,아케이드,Plague Inc. (전염병 주식회사),시뮬레이션,Minecraft,아케이드,Minecraft,아케이드,메몽 Memong,기타,MOODA,기타
2,Analog Paris,Photo & Video,Minecraft,아케이드,Analog Paris,Photo & Video,미루,기타,Analog Paris,Photo & Video,Football Manager 2020 Mobile,스포츠
3,Analog Wedding,Photo & Video,MOODA,기타,Forest: 집중하기,생산성,Forest: 집중하기,생산성,Night of the Full Moon,전략,@picn2k camera (피크닉 카메라),Photo & Video
4,@picn2k camera (피크닉 카메라),Photo & Video,Analog Paris,Photo & Video,Analog Wedding,Photo & Video,포켓 빌드,시뮬레이션,유니콘:광고차단 필수 앱,생산성,Agent A - 숨겨진 퍼즐,퍼즐
5,Football Manager 2020 Mobile,스포츠,Stardew Valley,롤플레잉,Plague Inc. (전염병 주식회사),시뮬레이션,@picn2k camera (피크닉 카메라),Photo & Video,Pascal s Wager,기타,VINYL - Kyoto,기타
6,Analog Tokyo,Photo & Video,Analog Wedding,Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,MOODA,기타,MOODA,기타,Analog Paris,Photo & Video
7,@yoojinkim wallpapers,기타,유니콘:광고차단 필수 앱,생산성,Stardew Valley,롤플레잉,Analog Paris,Photo & Video,Forest: 집중하기,생산성,유니콘:광고차단 필수 앱,생산성
8,A Dance Of Fire and Ice,음악,@picn2k camera (피크닉 카메라),Photo & Video,Analog Tokyo,Photo & Video,GoodNotes 5,Productivity,Analog Wedding,Photo & Video,Forest: 집중하기,생산성
9,MOODA,기타,Football Manager 2020 Mobile,스포츠,@yoojinkim wallpapers,기타,Analog Wedding,Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,메몽 Memong,기타
10,The White Door,어드벤처,A Dance Of Fire and Ice,음악,A Dance Of Fire and Ice,음악,Stardew Valley,롤플레잉,A Dance Of Fire and Ice,음악,Analog Wedding,Photo & Video
11,GoodNotes 5,Productivity,Analog Tokyo,Photo & Video,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략,유니콘:광고차단 필수 앱,생산성,GoodNotes 5,Productivity,A Dance Of Fire and Ice,음악
12,Analog Brooklyn,Photo & Video,GoodNotes 5,Productivity,유니콘:광고차단 필수 앱,생산성,Plague Inc. (전염병 주식회사),시뮬레이션,에버테일,롤플레잉,GoodNotes 5,Productivity
13,유니콘:광고차단 필수 앱,생산성,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,GoodNotes 5,Productivity,Analog Tokyo,Photo & Video,Analog Tokyo,Photo & Video,Plague Inc. (전염병 주식회사),시뮬레이션
14,Stardew Valley,롤플레잉,레이튼 교수와 이상한 마을 HD,어드벤처,포켓 빌드,시뮬레이션,A Dance Of Fire and Ice,음악,Tallowmere,액션,갓피플성경,도서/참고자료
15,NBA 2K20,스포츠,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,Football Manager 2020 Mobile,스포츠,CamScanner+,Productivity,Facetune - 무광고 버전,사진,Analog Tokyo,Photo & Video
16,Rebel Inc. (반란 주식회사),시뮬레이션,Analog Brooklyn,Photo & Video,미니 메트로,시뮬레이션,Football Manager 2020 Mobile,스포츠,Stardew Valley,롤플레잉,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity
17,Spectre 카메라,Photo & Video,The White Door,어드벤처,"PLOT - 플롯, 나의 이야기",Photo & Video,메몽 Memong,기타,Plague Inc. (전염병 주식회사),시뮬레이션,Stardew Valley,롤플레잉
18,갓피플성경,도서/참고자료,농구리그 스토리,스포츠,Analog Budapest,Photo & Video,@yoojinkim wallpapers,기타,@yoojinkim wallpapers,기타,Night of the Full Moon,전략
19,Forest: 집중하기,생산성,Analog Jeju,Photo & Video,Analog Brooklyn,Photo & Video,Journey,Family,구닥,사진,@yoojinkim wallpapers,기타
20,SOVS - 촬영부탁 필수앱,사진,Pou,캐주얼 게임,Monument Valley,퍼즐,Hero Siege: 포켓 에디션,롤플레잉,Space Marshals,액션,Slay the Spire,기타
21,구닥,사진,Getting Over It with Bennett Foddy,시뮬레이션,Facetune - 무광고 버전,사진,Kingdom: New Lands,전략,Juicy Realm,롤플레잉,NBA 2K20,스포츠
22,Geometry Dash,아케이드,Facetune - 무광고 버전,사진,Analog Jeju,Photo & Video,Facetune - 무광고 버전,사진,Football Manager 2020 Mobile,스포츠,Facetune - 무광고 버전,사진
23,kirakira+,Photo & Video,갓피플성경,도서/참고자료,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,구닥,사진,Insaniquarium! Deluxe,기타,구닥,사진
24,DEEMO,음악,kirakira+,Photo & Video,CamScanner+,Productivity,Analog Budapest,Photo & Video,포켓 빌드,시뮬레이션,서울 2033 : 후원자,어드벤처
25,Getting Over It with Bennett Foddy,시뮬레이션,@yoojinkim wallpapers,기타,갓피플성경,도서/참고자료,ilSang Pro,Photo & Video,CamScanner+,Productivity,아이언 마린 (Iron Marines),전략
26,CamScanner+,Productivity,NBA 2K20,스포츠,구닥,사진,nPlayer - The best media player,Entertainment,갓피플성경,도서/참고자료,CamScanner+,Productivity
27,Facetune - 무광고 버전,사진,DEEMO,음악,SOVS - 촬영부탁 필수앱,사진,갓피플성경,도서/참고자료,Analog Budapest,Photo & Video,"PLOT - 플롯, 나의 이야기",Photo & Video
28,Analog Budapest,Photo & Video,구닥,사진,Analog Seoul,Photo & Video,서울 2033 : 후원자,어드벤처,nPlayer - The best media player,Entertainment,Pascal s Wager,기타
29,Analog London,Photo & Video,FINAL FANTASY III,롤플레잉,Isoland,Adventure,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,NewBorder - 뉴보더 여백의 미,Photo & Video,nPlayer - The best media player,Entertainment
30,Analog Seoul,Photo & Video,Analog Seoul,Photo & Video,Analog London,Photo & Video,Mr Pumpkin 2: Walls of Kowloon,기타,"Peace, Death!",아케이드,Analog Seoul,Photo & Video
31,Analog Jeju,Photo & Video,Rebel Inc. (반란 주식회사),시뮬레이션,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,CHRONO TRIGGER (Upgrade Ver.),롤플레잉,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Geometry Dash,아케이드
32,Notability,Productivity,ilSang Pro,Photo & Video,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity,Pirates Outlaws,카드,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity,NewBorder - 뉴보더 여백의 미,Photo & Video
33,nPlayer - The best media player,Entertainment,Puffin Browser Pro,커뮤니케이션,Splendor,보드,Analog Brooklyn,Photo & Video,The White Door,어드벤처,AdGuard Pro - adblock and privacy protection,Utilities
34,마녀의 샘4,롤플레잉,CamScanner+,Productivity,Human: Fall Flat,퍼즐,Puffin Browser Pro,커뮤니케이션,Analog Jeju,Photo & Video,DEEMO,음악
35,Puffin Browser Pro,커뮤니케이션,언노운 나이츠,롤플레잉,DEEMO,음악,NewBorder - 뉴보더 여백의 미,Photo & Video,DEEMO,음악,Insaniquarium! Deluxe,기타
36,"편한가계부 (+음성, PC)",금융,Analog Budapest,Photo & Video,The White Door,어드벤처,kirakira+,Photo & Video,"편한가계부 (+음성, PC)",금융,Juicy Realm,롤플레잉
37,Flashcards Deluxe,교육,Beat Cop,Action,레이튼 교수와 이상한 마을 HD,어드벤처,Analog Jeju,Photo & Video,kirakira+,Photo & Video,Analog Brooklyn,Photo & Video
38,"PLOT - 플롯, 나의 이야기",Photo & Video,Geometry Dash,아케이드,Geometry Dash,아케이드,Feica - 나의 첫번째 필름 카메라,Photo & Video,"PLOT - 플롯, 나의 이야기",Photo & Video,Dead Cells,기타
39,FILCA - SLR 필름 카메라,Photo & Video,Analog London,Photo & Video,"편한가계부 (+음성, PC)",금융,Wordmaster 워드마스터 수능 2000(18개정),Education,Poly Bridge,Puzzle,Puffin Browser Pro,커뮤니케이션
40,Beholder 2,기타,nPlayer - The best media player,Entertainment,kirakira+,Photo & Video,NBA 2K20,스포츠,Analog Brooklyn,Photo & Video,Analog Jeju,Photo & Video
