,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,국세청 홈택스,도구,우체국쇼핑,쇼핑,경기지역화폐,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,TikTok 틱톡,동영상 플레이어/편집기,TikTok 틱톡,동영상 플레이어/편집기
1,Instagram,소셜,"코백-코로나 100m 근접시 푸시알림, 확진자 경로추적, 코로나19,  우한폐렴 정보서비스",의료,ZOOM Cloud Meetings,비즈니스,국세청 홈택스,도구,국세청 홈택스,도구,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑
2,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,공영쇼핑 - 공영홈쇼핑,쇼핑,Netflix(넷플릭스),엔터테인먼트,Android Auto - 호환되는 차량 및 헤드유닛용,자동차,"하루날씨 - 한눈에 필수 정보 AI안내, 첫화면, 실시간, 예보, 미세먼지, WHO,기상청",날씨,Clean Booster,도구
3,NH스마트뱅킹,금융,Forest: 집중하기,생산성,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Google Duo - 고화질 화상 통화,커뮤니케이션,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,FaceApp,사진
4,쿠팡 (Coupang),쇼핑,코로나맵 - 신종 코로나 바이러스 현황,건강/운동,Instagram,소셜,내 곁에 국민연금,금융,네이버 - NAVER,도서/참고자료,Netflix(넷플릭스),엔터테인먼트
5,(New) 우리은행 우리WON뱅킹,금융,Amway,비즈니스,네이버 - NAVER,도서/참고자료,ZOOM Cloud Meetings,비즈니스,KB국민은행 스타뱅킹,금융,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어
6,네이버 - NAVER,도서/참고자료,Instagram,소셜,배달의민족,식음료,Instagram,소셜,카카오톡 KakaoTalk,커뮤니케이션,Action Cleaner,도구
7,카카오톡 KakaoTalk,커뮤니케이션,대한민국 청와대,생산성,Samsung Smart Switch Mobile,도구,경기지역화폐,금융,Samsung Smart Switch Mobile,도구,Samsung Smart Switch Mobile,도구
8,Netflix(넷플릭스),엔터테인먼트,농협몰,쇼핑,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Netflix(넷플릭스),엔터테인먼트,V3 Mobile Plus 2.0,도구,카카오톡 KakaoTalk,커뮤니케이션
9,V3 Mobile Plus 2.0,도구,Wish - 쇼핑은 즐겁다,쇼핑,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,ZOOM Cloud Meetings,비즈니스,ZOOM Cloud Meetings,비즈니스
10,Samsung Smart Switch Mobile,도구,Android Auto - 호환되는 차량 및 헤드유닛용,자동차,쿠팡 (Coupang),쇼핑,네이버 - NAVER,도서/참고자료,Netflix(넷플릭스),엔터테인먼트,네이버 - NAVER,도서/참고자료
11,토스,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,배달요기요,식음료,Android 시스템 WebView,도구,Instagram,소셜,Instagram,소셜
12,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,쿠팡 (Coupang),쇼핑,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,쿠팡 (Coupang),쇼핑,제이티아이알리미,라이프스타일,한국 속보 : 최신 지역 뉴스 및 속보,뉴스/잡지
13,배달요기요,식음료,Netflix(넷플릭스),엔터테인먼트,한컴오피스 viewer,생산성,사용자 휴대폰 도우미 - Windows와 연결,생산성,한컴오피스 viewer,생산성,배달의민족,식음료
14,배달의민족,식음료,네이버 - NAVER,도서/참고자료,V3 Mobile Plus 2.0,도구,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Android Auto - 호환되는 차량 및 헤드유닛용,자동차,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션
15,스마트위택스,금융,신천지위치알림,라이프스타일,에이블리 - 셀럽마켓 모음앱,쇼핑,V3 Mobile Plus 2.0,도구,"PASS by SK TELECOM(구, T인증)",금융,"T연락처 - 주소록 실시간 백업, 114 검색",도구
16,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보,Samsung Smart Switch Mobile,도구,밴드,소셜,SEIO Agent,도구,"네이버 지도, 내비게이션",여행 및 지역정보,토스,금융
17,Wish - 쇼핑은 즐겁다,쇼핑,카카오톡 KakaoTalk,커뮤니케이션,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,한컴오피스 viewer,생산성,쿠팡 (Coupang),쇼핑,Fast Clean,도구
18,"네이버 지도, 내비게이션",여행 및 지역정보,우체국,라이프스타일,토스,금융,Samsung Smart Switch Mobile,도구,배달의민족,식음료,배달요기요,식음료
19,Samsung Pay(삼성 페이),라이프스타일,리브,금융,Google Play 게임,엔터테인먼트,밴드,소셜,모바일 관세청,비즈니스,"PASS by SK TELECOM(구, T인증)",금융
20,카카오뱅크 - 같지만 다른 은행,금융,농협하나로앱,라이프스타일,텔레그램 공식 앱 Telegram,커뮤니케이션,비플 제로페이,금융,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,쿠팡 (Coupang),쇼핑
21,에이블리 - 셀럽마켓 모음앱,쇼핑,삼성 음성 녹음,도구,"PASS by SK TELECOM(구, T인증)",금융,토스,금융,"파도 MP3 무료 음악 다운, PADO MP3 노래 다운",음악/오디오,모바일 관세청,비즈니스
22,카카오내비,지도/내비게이션,배달의민족,식음료,"임영웅 무료듣기 – 미스터트롯 임영웅 메들리 – 미스터트롯 임영웅 방송, 예선 참가곡 듣기",음악/오디오,TikTok 틱톡,동영상 플레이어/편집기,토스,금융,T map - 내비게이션 / 지도,지도/내비게이션
