,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,SOVS 소브스 - 구도 카메라,사진,SOVS 소브스 - 구도 카메라,사진,@picn2k camera (피크닉 카메라),Photo & Video,SOVS 소브스 - 구도 카메라,사진,CamScanner (License),생산성,유니콘:광고차단 필수 앱,생산성,@picn2k camera (피크닉 카메라),Photo & Video,Human Anatomy Atlas 2020: Complete 3D Human Body,의료,Nova Launcher Prime,맞춤 설정
1,Tasker,도구,Puffin Browser Pro,커뮤니케이션,SOVS 소브스 - 구도 카메라,사진,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,SOVS 소브스 - 구도 카메라,사진,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,Panda Gamepad Pro (BETA),도구,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성
2,갓피플성경,도서/참고자료,nPlayer,동영상 플레이어/편집기,무음모드 (순정 무음카메라),도구,Puffin Browser Pro,커뮤니케이션,nPlayer,동영상 플레이어/편집기,유니콘:광고차단 필수 앱,생산성,갓피플성경,도서/참고자료,SOVS 소브스 - 구도 카메라,사진,LectureNotes,생산성,LectureNotes,생산성,갓피플성경,도서/참고자료,갓피플성경,도서/참고자료
3,nPlayer,동영상 플레이어/편집기,LectureNotes,생산성,Puffin Browser Pro,커뮤니케이션,nPlayer,동영상 플레이어/편집기,Puffin Browser Pro,커뮤니케이션,nPlayer,동영상 플레이어/편집기,@picn2k camera (피크닉 카메라),Photo & Video,@picn2k camera (피크닉 카메라),Photo & Video,nPlayer,동영상 플레이어/편집기,Panda Gamepad Pro (BETA),도구,LectureNotes,생산성,nPlayer,동영상 플레이어/편집기
4,LectureNotes,생산성,갓피플성경,도서/참고자료,nPlayer,동영상 플레이어/편집기,심플 갤러리 Pro,사진,갓피플성경,도서/참고자료,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육,nPlayer,동영상 플레이어/편집기,nPlayer,동영상 플레이어/편집기,갓피플성경,도서/참고자료,갓피플성경,도서/참고자료,@picn2k camera (피크닉 카메라),Photo & Video,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육
5,AirBuds Popup - airpod battery app,음악/오디오,픽테일 - Limited Edition,사진,갓피플성경,도서/참고자료,무음모드 (순정 무음카메라),도구,MX 플레이어 Pro,동영상 플레이어/편집기,MX 플레이어 Pro,동영상 플레이어/편집기,Puffin Browser Pro,커뮤니케이션,LectureNotes,생산성,SOVS 소브스 - 구도 카메라,사진,nPlayer,동영상 플레이어/편집기,한컴오피스 한글,비즈니스,Jump Desktop (RDP & VNC),비즈니스
6,MX 플레이어 Pro,동영상 플레이어/편집기,Tasker,도구,MX 플레이어 Pro,동영상 플레이어/편집기,MX 플레이어 Pro,동영상 플레이어/편집기,무음모드 (순정 무음카메라),도구,Puffin Browser Pro,커뮤니케이션,LectureNotes,생산성,갓피플성경,도서/참고자료,MX 플레이어 Pro,동영상 플레이어/편집기,MX 플레이어 Pro,동영상 플레이어/편집기,무음모드 (순정 무음카메라),도구,LectureNotes,생산성
7,무음모드 (순정 무음카메라),도구,MX 플레이어 Pro,동영상 플레이어/편집기,LectureNotes,생산성,LectureNotes,생산성,AirBuds Popup - airpod battery app,음악/오디오,무음모드 (순정 무음카메라),도구,어린이를 위한 그리기! 점선 따라 그리기!,교육,Word master 워드마스터 수능 2000(18개정),교육,CamScanner (License),생산성,WolframAlpha,도서/참고자료,Poweramp Full Version Unlocker,음악/오디오,MX 플레이어 Pro,동영상 플레이어/편집기
8,아날로그 필름 - 옛 향수 가득한 전문가용 사진 필터 앱!,사진,무음모드 (순정 무음카메라),도구,Tasker,도구,AirBuds Popup - airpod battery app,음악/오디오,LectureNotes,생산성,갓피플성경,도서/참고자료,토익 PART5 종결자,교육,MX 플레이어 Pro,동영상 플레이어/편집기,한컴오피스 한글,비즈니스,한컴오피스 한글,비즈니스,MX 플레이어 Pro,동영상 플레이어/편집기,한컴오피스 한글,비즈니스
9,Nova Launcher Prime,맞춤 설정,한컴오피스 한글,비즈니스,픽테일 - Limited Edition,사진,갓피플성경,도서/참고자료,픽테일 - Limited Edition,사진,LectureNotes,생산성,MX 플레이어 Pro,동영상 플레이어/편집기,Puffin Browser Pro,커뮤니케이션,Puffin Browser Pro,커뮤니케이션,Puffin Browser Pro,커뮤니케이션,토익 PART5 종결자,교육,@picn2k camera (피크닉 카메라),Photo & Video
10,ONE UI Icon Pack,맞춤 설정,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,"케이웨더 날씨Pro(기상청 날씨, 미세먼지, 실내공기)",날씨,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,토익 PART5 종결자,교육,무음모드 (순정 무음카메라),도구,Moon+ Reader Pro,도서/참고자료,@picn2k camera (피크닉 카메라),Photo & Video,USB Audio Player PRO,음악/오디오,nPlayer,동영상 플레이어/편집기,Moon+ Reader Pro,도서/참고자료
11,픽테일 - Limited Edition,사진,AirBuds Popup - airpod battery app,음악/오디오,Nova Launcher Prime,맞춤 설정,픽테일 - Limited Edition,사진,한컴오피스 한글,비즈니스,AirBuds Popup - airpod battery app,음악/오디오,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",사진,한컴오피스 한글,비즈니스,무음무음 PRO,사진,Nova Launcher Prime,맞춤 설정,Panda Gamepad Pro (BETA),도구,Word master 워드마스터 수능 2000(18개정),교육
12,터치매크로-자동터치,도구,Nova Launcher Prime,맞춤 설정,터치매크로-자동터치,도구,Nova Launcher Prime,맞춤 설정,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,"편한가계부 (+음성, PC)",금융,MarineTraffic ship positions,지도/내비게이션,Panda Gamepad Pro (BETA),도구,Nova Launcher Prime,맞춤 설정,토익 PART5 종결자,교육,Puffin Browser Pro,커뮤니케이션,무음무음 PRO,사진
13,구닥,사진,터치매크로-자동터치,도구,무음모드 PRO (기본 카메라 무음),사진,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,Tasker,도구,한컴오피스 한글,비즈니스,Aa십육살™ 한국어 Flipfont,맞춤 설정,무음모드 (순정 무음카메라),도구,Torque Pro (OBD2 / 자동차),커뮤니케이션,20 수특+수완 단어Plus: 빈출 우선 단어 총정리,교육,"Star Walk 2 - 하늘지도：별자리 찾기, 스타지도, 증강 현실 천문학",교육,SOVS 소브스 - 구도 카메라,사진
14,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,Poweramp Full Version Unlocker,음악/오디오,한컴오피스 한글,비즈니스,VivaVideo PRO 비디오 편집 HD,동영상 플레이어/편집기,토익 PART5 종결자,교육,픽테일 - Limited Edition,사진,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,Nova Launcher Prime,맞춤 설정,AirBuds Popup - airpod battery app,음악/오디오,SOVS 소브스 - 구도 카메라,사진,SOVS 소브스 - 구도 카메라,사진,무음모드 (순정 무음카메라),도구
15,Photo Studio PRO,사진,Aa십육살™ 한국어 Flipfont,맞춤 설정,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,Torque Pro (OBD2 / 자동차),커뮤니케이션,터치매크로-자동터치,도구,Torque Pro (OBD2 / 자동차),커뮤니케이션,Word master 워드마스터 수능 2000(18개정),교육,TL Mods,도구,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,무음무음 PRO,사진,자미두수 명반 PRO,라이프스타일,구닥,사진
16,한컴오피스 한글,비즈니스,친일인명사전,도서/참고자료,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,한컴오피스 한글,비즈니스,Nova Launcher Prime,맞춤 설정,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,한컴오피스 한글,비즈니스,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,토익 PART5 종결자,교육,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",생산성,USB Audio Player PRO,음악/오디오,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",생산성
17,Aa십육살™ 한국어 Flipfont,맞춤 설정,어린이를 위한 그리기! 점선 따라 그리기!,교육,Torque Pro (OBD2 / 자동차),커뮤니케이션,터치매크로-자동터치,도구,Torque Pro (OBD2 / 자동차),커뮤니케이션,어린이를 위한 그리기! 점선 따라 그리기!,교육,픽테일 - Limited Edition,사진,MarineTraffic ship positions,지도/내비게이션,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",사진,Word master 워드마스터 수능 2000(18개정),교육,무음무음 PRO,사진,"책꽂이+ (독서기록, 도서관리)",도서/참고자료
18,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,Aa십육살™ 한국어 Flipfont,맞춤 설정,Tasker,도구,CamScanner (License),생산성,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,AirBuds Popup - airpod battery app,음악/오디오,USB Audio Player PRO,음악/오디오,Torque Pro (OBD2 / 자동차),커뮤니케이션,ACR License,생산성,Panda Gamepad Pro (BETA),도구
19,어린이를 위한 그리기! 점선 따라 그리기!,교육,구닥,사진,AirBuds Popup - airpod battery app,음악/오디오,Poweramp Full Version Unlocker,음악/오디오,AVStreamer - 고성능 원격제어,생산성,데이그램 - 하루 한줄 일기장,라이프스타일,ES PRO Manager,도구,토익 PART5 종결자,교육,데이그램 - 하루 한줄 일기장,라이프스타일,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,AirBuds Popup - airpod battery app,음악/오디오,토익 PART5 종결자,교육
