,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,국세청 홈택스,도구,Magic Booster - 제일 좋아하는 청리도구,도구,Samsung Notes,생산성,배달의민족,식음료,Snapchat,소셜,i-ONE Bank - IBK기업은행,금융,토스,금융,Google Play AR 서비스,도구,토스,금융,(New) 우리은행 우리WON뱅킹,금융,사용자 휴대폰 도우미 - Windows와 연결,생산성,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보
1,TikTok 틱톡,동영상 플레이어/편집기,배달요기요,식음료,NH스마트뱅킹,금융,SRT - 수서고속철도(NEW),여행 및 지역정보,i-ONE Bank - IBK기업은행,금융,다이소 멤버십,라이프스타일,Samsung Notes,생산성,"T연락처 - 주소록 실시간 백업, 114 검색",도구,(New) 우리은행 우리WON뱅킹,금융,SNOW 스노우,사진,토스,금융,Netflix(넷플릭스),엔터테인먼트
2,Netflix(넷플릭스),엔터테인먼트,"커넥츠: 무료 공부질문 앱-500만 다운로드 (문제해설, 노하우, 과외, 인강)",교육,삼성 음성 녹음,도구,Super Magic Cleaner - 안드로이드 클리너 휴대폰 쿨러 안티바이러스,도구,국세청 홈택스,도구,토스,금융,카카오톡 KakaoTalk,커뮤니케이션,홈플러스 더 클럽,쇼핑,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,토스,금융,Samsung Notes,생산성,Instagram,소셜
3,NH스마트뱅킹,금융,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,배달의민족,식음료,호갱노노,부동산/홈 인테리어,삼성 음성 녹음,도구,V3 Mobile Plus 2.0,도구,스마트주택금융,금융,KB국민은행 스타뱅킹,금융,(New) 우리은행 우리WON뱅킹,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑
4,카카오뱅크 - 같지만 다른 은행,금융,"Super Junk Cleaner - 휴대폰 쿨러, 안드로이드 클리너, 배터리 절약",도구,토스,금융,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,VG 기업용 SDK 2.0,도구,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Wish - 쇼핑은 즐겁다,쇼핑,(New) 우리은행 우리WON뱅킹,금융
5,카카오톡 KakaoTalk,커뮤니케이션,"네이버 지도, 내비게이션",여행 및 지역정보,카카오뱅크 - 같지만 다른 은행,금융,NH스마트뱅킹,금융,Samsung Smart Switch Mobile,도구,네이버 - NAVER,도서/참고자료,호갱노노,부동산/홈 인테리어,배달요기요,식음료,카카오톡 KakaoTalk,커뮤니케이션,Wish - 쇼핑은 즐겁다,쇼핑,에이블리 - 셀럽마켓 모음앱,쇼핑,배달의민족,식음료
6,V3 Mobile Plus 2.0,도구,V3 Mobile Plus 2.0,도구,네이버 - NAVER,도서/참고자료,국세청 홈택스,도구,일기 예보 2020 - 실시간 날씨,날씨,Samsung Smart Switch Mobile,도구,Samsung Smart Switch Mobile,도구,SRT - 수서고속철도(NEW),여행 및 지역정보,Instagram,소셜,사용자 휴대폰 도우미 - Windows와 연결,생산성,Instagram,소셜,배달요기요,식음료
7,원더쇼핑:인기쇼핑몰/핫딜/여행쿠폰/웹툰/위메프투어/위메프페이,쇼핑,네이버 - NAVER,도서/참고자료,Samsung Smart Switch Mobile,도구,Samsung Smart Switch Mobile,도구,NH스마트뱅킹,금융,V3 Mobile Plus 2.0,도구,TikTok 틱톡,동영상 플레이어/편집기,쿠팡 (Coupang),쇼핑,Samsung Smart Switch Mobile,도구,어카운트인포-계좌정보통합관리,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,네이버 - NAVER,도서/참고자료
8,쿠팡 (Coupang),쇼핑,NH스마트뱅킹,금융,V3 Mobile Plus 2.0,도구,SODA 소다 - Natural Beauty Camera,사진,밴드,소셜,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Wish - 쇼핑은 즐겁다,쇼핑,"네이버 지도, 내비게이션",여행 및 지역정보,네이버 - NAVER,도서/참고자료,Samsung Smart Switch Mobile,도구,NH콕뱅크,금융,쿠팡 (Coupang),쇼핑
9,네이버 - NAVER,도서/참고자료,Samsung Smart Switch Mobile,도구,"미세미세 - 미세먼지, WHO기준, 알람, 위젯, 날씨, 지도",날씨,쿠팡 (Coupang),쇼핑,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Instagram,소셜,배달의민족,식음료,T map - 내비게이션 / 지도,지도/내비게이션,V3 Mobile Plus 2.0,도구,Instagram,소셜,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보,"네이버 지도, 내비게이션",여행 및 지역정보
